Date/Time,Word Count,en,uk
2023.04.07-20.33.45,323,323,0
2023.07.09-09.50.17,1104,1104,0
2023.07.10-09.26.06,819,819,0
2023.07.10-09.31.09,765,765,0
2023.07.10-09.38.33,687,687,0
2023.07.10-09.45.03,663,663,0
2023.07.10-10.00.33,695,695,0
2023.07.10-10.04.09,695,695,32
2023.07.10-10.31.39,695,695,268
2023.07.10-10.41.08,670,670,268
2023.07.10-11.23.48,642,642,268
2023.07.10-11.39.00,622,622,264
2023.07.10-11.54.09,618,618,427
2023.07.10-12.01.31,618,618,483
2023.07.10-12.15.37,610,610,483
2023.07.10-12.18.49,609,609,491
2023.07.10-12.26.36,614,614,548
2023.07.10-12.27.19,614,614,614
2023.07.10-12.39.58,615,615,614
2023.07.10-12.43.44,614,614,613
2023.07.10-12.45.03,614,614,614
2023.07.10-12.59.18,612,612,606
2023.07.10-13.00.18,612,612,608
2023.07.10-13.01.47,612,612,612
2023.07.11-15.53.53,613,613,544
2023.07.11-16.01.36,613,613,613
2023.07.12-11.43.41,617,617,609
2023.07.12-11.44.56,617,617,617
2023.07.13-10.29.29,617,617,611
2023.07.13-10.31.21,617,617,617
2023.07.19-09.25.37,618,618,616
2023.07.19-09.26.09,618,618,618
2023.07.24-10.35.24,735,735,611
2023.07.24-10.41.40,735,735,735
2023.08.15-14.52.58,723,723,719
2023.08.15-17.00.11,721,721,721
2023.08.15-17.03.56,828,828,721
2023.08.15-17.12.05,828,828,814
2023.08.15-17.12.37,828,828,828
2023.08.15-18.03.44,930,930,828
2023.08.15-18.09.42,930,930,930
2023.08.15-18.11.31,930,930,905
2023.08.15-18.12.45,930,930,930
2023.08.15-18.13.47,823,823,823
2023.08.17-12.02.39,846,846,806
2023.08.17-12.04.23,846,846,846
2023.08.17-16.21.50,846,846,833
2023.08.17-16.25.33,846,846,846
2023.08.17-20.42.31,854,854,845
2023.08.17-20.43.10,845,845,845
2023.09.05-20.21.48,781,781,701
2023.09.05-20.23.25,781,781,768
2023.09.05-20.24.40,781,781,781
2023.09.07-19.23.55,783,783,767
2023.09.07-19.29.19,783,783,783
2023.09.07-19.30.30,770,770,734
2023.09.07-19.30.56,770,770,770
